IconKeyValue,Keywords
ic_fluent_mention_20_filled,camera:0.6857 film:0.5915 video:0.5274 record:0.3082 multimedia:0.3055 tape:0.2967 video-camera:0.2264 audio:0.2255 recorder:0.2147 music:0.2110
ic_fluent_person_available_20_regular,protection:0.1342 beauty:0.1291 ship:0.1259 lock:0.1012
ic_fluent_city_20_filled,
ic_fluent_mail_clock_20_regular,
ic_fluent_real_estate_24_regular,vault:0.1986
ic_fluent_next_24_regular,next:0.7715 skip:0.2339 audio:0.1548 next-track:0.1356 end:0.1202 forward:0.1029
ic_fluent_important_12_filled,plant:0.1408
ic_fluent_app_folder_20_filled,calculator:0.3479
ic_fluent_desktop_speaker_24_regular,monitor:0.3022 computer:0.1119
ic_fluent_people_team_20_regular,
ic_fluent_text_align_center_20_filled,align:0.5892 paragraph:0.1478 table:0.1040
ic_fluent_building_multiple_24_regular,office:0.1049
ic_fluent_vehicle_car_48_filled,car:0.9225
ic_fluent_video_background_effect_24_regular,tide:0.1479 crest:0.1424 tremor:0.1270
ic_fluent_highlight_accent_20_filled,arrow:0.9516 zigzag:0.5078 way:0.4077 down:0.1828
ic_fluent_speaker_0_28_regular,volume:0.6016 audio:0.2076 silent:0.1223 mute:0.1129
ic_fluent_dual_screen_tablet_24_filled,
ic_fluent_text_field_20_regular,
ic_fluent_paint_brush_arrow_down_24_filled,camping:0.1606
ic_fluent_location_24_filled,
ic_fluent_comment_checkmark_16_filled,
ic_fluent_options_16_regular,
ic_fluent_data_usage_20_filled,pause:0.1245
ic_fluent_table_stack_below_24_filled,
ic_fluent_people_community_24_regular,network:0.1176
ic_fluent_person_board_16_regular,
ic_fluent_battery_charge_24_regular,battery:0.4979
ic_fluent_alert_snooze_24_filled,latest-technology:0.1935 oscillation:0.1827 pulse:0.1662 graze:0.1559 tremor:0.1320 throb:0.1048
ic_fluent_document_search_24_filled,toilet:0.6306 bathroom:0.4974 toilet-paper:0.4840 smartwatch:0.3038 wc:0.1436 paper-roll:0.1286
ic_fluent_weather_partly_cloudy_night_20_filled,
ic_fluent_weather_moon_off_20_regular,
ic_fluent_lightbulb_filament_24_filled,plant:0.4527 tree:0.3621 nature:0.3091 garden:0.1728 leaf:0.1687 green:0.1277 hot-air-balloon:0.1271
ic_fluent_lightbulb_filament_20_regular,brain:0.2186 hot-air-balloon:0.1996 mind:0.1793
ic_fluent_star_add_24_filled,
ic_fluent_thinking_24_regular,
ic_fluent_wand_28_regular,fireworks:0.1136
ic_fluent_home_32_filled,home:0.3828
ic_fluent_arrow_move_20_filled,social-media:0.6008 influencer:0.4961 friends:0.4670 puzzle:0.1931 connection:0.1539 puzzle-piece:0.1322
ic_fluent_arrow_sync_circle_24_regular,
ic_fluent_number_symbol_20_filled,hashtag:0.7670 hash:0.1992 microchip:0.1902 tic-tac-toe:0.1134
ic_fluent_chat_warning_24_regular,
ic_fluent_document_copy_20_filled,book:0.1190
ic_fluent_text_subscript_20_filled,scissors:0.1917
ic_fluent_share_screen_start_28_regular,
ic_fluent_share_screen_start_28_filled,monitor:0.1578
ic_fluent_thumb_like_16_filled,thumbs-up:0.4224 like:0.3485
ic_fluent_zoom_in_24_regular,magnifying-glass:0.1667 zoom:0.1420 magnifier:0.1096
ic_fluent_search_24_regular,search:0.8831 magnifying-glass:0.8716 zoom:0.7438 magnifier:0.6787 lens:0.3112 view:0.2230 finder:0.1408 magnifying:0.1383 find:0.1302 explore:0.1273
ic_fluent_folder_swap_16_regular,update:0.1442
ic_fluent_tabs_24_filled,cup:0.1111
ic_fluent_text_color_accent_20_regular,burger:0.2411 router:0.1565
ic_fluent_heart_24_filled,
ic_fluent_broom_24_regular,
ic_fluent_flag_48_filled,flagged:0.3825 state:0.2160 banner:0.1734 flagging:0.1674
ic_fluent_channel_arrow_left_24_regular,
ic_fluent_text_underline_24_regular,tablet:0.1966 mobile:0.1769 bookmark:0.1108 book:0.1039
ic_fluent_arrow_circle_up_16_regular,
ic_fluent_arrow_counterclockwise_28_filled,
ic_fluent_channel_alert_28_filled,graph:0.1700 pie-chart:0.1673
ic_fluent_weather_partly_cloudy_day_24_filled,cloudy:0.1576 cloud:0.1072
ic_fluent_person_28_filled,
ic_fluent_table_insert_column_24_filled,
ic_fluent_cursor_hover_32_regular,warning:0.1294
ic_fluent_puzzle_cube_28_filled,
ic_fluent_component_2_double_tap_swipe_down_24_regular,bold:0.6726 gold:0.6600 sold:0.5413 nope:0.5394
ic_fluent_checkbox_unchecked_12_filled,oven:0.4057 frame:0.1357
ic_fluent_arrow_repeat_all_20_filled,
ic_fluent_bot_24_filled,ship:0.2143 boat:0.1498
ic_fluent_add_circle_28_regular,add:0.2085
ic_fluent_text_bullet_list_tree_24_filled,list:0.3790 bullet-list:0.3152 menu:0.2168 bullets:0.2067
ic_fluent_weather_sunny_48_regular,brightness:0.4259 sun:0.3808
ic_fluent_vote_24_regular,hotel:0.1347 desk:0.1230
ic_fluent_image_search_20_filled,pet:0.1334
ic_fluent_caret_down_left_20_filled,stairs:0.1437
ic_fluent_document_landscape_24_filled,battery:0.2442
ic_fluent_run_24_regular,
ic_fluent_maximize_24_regular,stop:0.6757 square:0.6468 symmetrical:0.2559 border:0.1285 rectangle:0.1280 box:0.1101
ic_fluent_weather_snow_24_regular,snow:0.4489 cold:0.3527 rain:0.3162 cloud:0.2375 cloudy:0.2124 sun:0.2118 snowing:0.2116 weather:0.1686 climate:0.1266 winter:0.1225
ic_fluent_folder_link_48_regular,
ic_fluent_eye_tracking_on_24_regular,focus:0.5300 camera:0.2317 viewfinder:0.1500
ic_fluent_drink_beer_20_regular,beer:0.7645 beer-mug:0.2546 pint:0.1416
ic_fluent_arrow_hook_down_left_20_filled,arrow:0.2020
ic_fluent_vehicle_truck_20_filled,
ic_fluent_cube_24_filled,box:0.3830 boxes:0.3585 cube:0.1469 package:0.1134
ic_fluent_speaker_off_24_regular,
ic_fluent_text_column_two_left_20_regular,bullets:0.2455 list:0.1234
ic_fluent_currency_dollar_rupee_16_filled,robot:0.1889 machine:0.1512
ic_fluent_text_field_24_regular,audio:0.1979
ic_fluent_pane_close_24_filled,
ic_fluent_shifts_open_20_regular,
ic_fluent_book_coins_24_regular,protection:0.1479
ic_fluent_lock_open_28_filled,lock:0.1949 unlock:0.1456
ic_fluent_comment_off_16_filled,
ic_fluent_mic_off_16_regular,leaf:0.1679 nature:0.1031
ic_fluent_star_edit_24_regular,autumn:0.1126
ic_fluent_text_clear_formatting_20_regular,
ic_fluent_note_20_filled,
ic_fluent_book_number_20_filled,passport:0.2288
ic_fluent_arrow_trending_20_regular,arrow:0.7608 down:0.2283 way:0.1504
ic_fluent_arrow_sync_24_filled,
ic_fluent_beaker_20_filled,industry:0.1344 construction:0.1257
ic_fluent_backpack_add_28_regular,
ic_fluent_symbols_24_regular,leaves:0.1013
ic_fluent_image_20_regular,image:0.3650 gallery:0.2391
ic_fluent_textbox_align_bottom_24_filled,file:0.1278
ic_fluent_link_edit_20_regular,
ic_fluent_table_cell_edit_24_filled,archery:0.1137
ic_fluent_link_16_regular,sold:0.3675 nope:0.3631 bold:0.3362 gold:0.3177
ic_fluent_cellular_data_5_20_regular,code:0.1174
ic_fluent_bot_20_regular,ship:0.1953 sweet:0.1489 chocolate:0.1303
ic_fluent_tasks_app_20_regular,
ic_fluent_cart_16_regular,
ic_fluent_send_28_filled,right:0.3535 paper-plane:0.2395 sold:0.2231 nope:0.1976 bold:0.1743 gold:0.1742 move:0.1163
ic_fluent_merge_24_filled,next:0.1304 right:0.1202 move:0.1113
ic_fluent_calendar_month_20_regular,
ic_fluent_add_circle_24_filled,
ic_fluent_image_24_regular,image:0.5956 gallery:0.4062 landscape:0.2364 photo:0.2070 pic:0.1754 picture:0.1748 images:0.1076 pictures:0.1057
ic_fluent_clock_20_regular,
ic_fluent_arrow_enter_up_24_regular,
ic_fluent_cellular_data_cellular_off_24_filled,cleaning:0.2287 signal:0.1242
ic_fluent_comment_arrow_left_20_regular,message:0.3303 chatbot:0.2208
ic_fluent_arrow_download_24_filled,down:0.7283 download:0.6654
ic_fluent_textbox_align_middle_20_regular,
ic_fluent_scan_24_regular,
ic_fluent_dock_panel_left_48_filled,layout:0.3735 window:0.2661 frame:0.1669 apps:0.1007
ic_fluent_math_formula_24_regular,
ic_fluent_call_connecting_20_filled,
ic_fluent_gavel_24_regular,
ic_fluent_mic_on_16_filled,microphone:0.5133 plug:0.2654 mic:0.2207 audio:0.1284 song:0.1213
ic_fluent_comment_arrow_right_20_filled,
ic_fluent_tent_16_regular,halloween:0.1408
ic_fluent_notebook_sync_24_filled,newspaper:0.2728 calculator:0.2225
ic_fluent_add_circle_24_regular,
ic_fluent_font_space_tracking_in_24_regular,
ic_fluent_person_feedback_24_regular,feedback:0.1549
ic_fluent_apps_add_in_20_regular,
ic_fluent_call_connecting_20_regular,
ic_fluent_phone_link_setup_24_filled,ipod:0.1139
ic_fluent_location_48_filled,
ic_fluent_calendar_cancel_16_regular,
ic_fluent_movies_and_tv_24_filled,wallet:0.4737 clapperboard:0.1491 calendar:0.1294
ic_fluent_image_20_filled,image:0.3325
ic_fluent_video_off_20_filled,
ic_fluent_keyboard_layout_split_24_regular,
ic_fluent_star_line_horizontal_3_20_regular,pipe:0.1044
ic_fluent_grid_kanban_20_regular,server:0.4310 database:0.3112
ic_fluent_checkbox_arrow_right_24_filled,
ic_fluent_closed_caption_28_regular,
ic_fluent_person_board_24_filled,
ic_fluent_table_32_regular,
ic_fluent_reading_mode_mobile_20_filled,contract:0.3781 signature:0.1149
ic_fluent_arrow_circle_down_right_16_filled,
ic_fluent_shape_exclude_16_filled,
ic_fluent_toggle_right_28_regular,switch:0.1690
ic_fluent_star_line_horizontal_3_24_regular,
ic_fluent_position_forward_20_regular,
ic_fluent_presenter_off_24_regular,bold:0.3805 nope:0.3322 sold:0.3139 gold:0.2769 tremor:0.1315 crest:0.1209 beating:0.1189 latest-technology:0.1132 tide:0.1069 outbreak:0.1049
ic_fluent_options_20_regular,ribbon:0.1131 banner:0.1012
ic_fluent_megaphone_off_24_regular,
ic_fluent_fps_60_48_filled,
ic_fluent_scratchpad_24_regular,
ic_fluent_filter_20_regular,filter:0.1107 align:0.1071
ic_fluent_text_asterisk_20_filled,snowflake:0.3905 cold:0.2257 snow:0.1600 snowing:0.1527
ic_fluent_pane_open_24_filled,
ic_fluent_table_freeze_column_24_regular,calculator:0.1002
ic_fluent_calendar_question_mark_24_filled,
ic_fluent_cloud_download_48_filled,download:0.4246 cloud-download:0.3282 cloud:0.2526 server:0.2103 cloud-computing:0.1321
ic_fluent_cookies_20_filled,
ic_fluent_wand_48_regular,magic-wand:0.2698 wand:0.1311
ic_fluent_video_person_call_16_regular,
ic_fluent_tag_24_filled,price-tag:0.2394 tag:0.1053
ic_fluent_caret_down_left_24_regular,signal:0.2883 arrow:0.1852 stroke:0.1434
ic_fluent_screenshot_20_regular,
ic_fluent_arrow_circle_down_right_24_filled,geography:0.1057
ic_fluent_arrow_repeat_all_off_24_regular,
ic_fluent_filter_20_filled,filter:0.2578 align:0.1651 alignment:0.1088
ic_fluent_textbox_align_bottom_20_regular,
ic_fluent_calendar_20_regular,calendar:0.2737 browser:0.1341
ic_fluent_communication_16_filled,
ic_fluent_weather_squalls_48_regular,wind:0.9827 windy:0.8789 blow:0.6996 storm:0.4437 gust:0.3374 breeze:0.2695 climate:0.2235 arrow:0.2195 fog:0.1674 cloudy:0.1619
ic_fluent_caret_16_filled,stairs:0.2905 stair:0.1062
ic_fluent_circle_small_24_filled,
ic_fluent_map_drive_16_regular,
ic_fluent_globe_24_regular,world:0.2430 geography:0.1268
ic_fluent_call_end_24_filled,sunglasses:0.4915 goggles:0.2434 protection:0.2430 eyewear:0.1267 shades:0.1123
ic_fluent_bookmark_28_regular,bookmark:0.8782 tag:0.1711
ic_fluent_set_top_stack_24_filled,money:0.4796 cash:0.2165 dollars:0.1030
ic_fluent_call_outbound_20_filled,key:0.2064 access:0.1184
ic_fluent_dock_panel_left_16_filled,
ic_fluent_leaf_one_16_filled,plant:0.2064
ic_fluent_battery_8_24_filled,battery:0.2957 wallet:0.2707
ic_fluent_text_grammar_wand_16_filled,
ic_fluent_important_24_filled,medal:0.4096
ic_fluent_checkbox_person_24_regular,
ic_fluent_chat_mail_20_filled,
ic_fluent_notebook_sync_24_regular,
ic_fluent_clipboard_paste_24_regular,
ic_fluent_tv_28_filled,monitor:0.5116 computer:0.1429 tv:0.1093
ic_fluent_drink_beer_24_regular,beer:0.7693 beer-mug:0.2748 glass:0.1752 pint:0.1711
ic_fluent_text_grammar_dismiss_24_filled,
ic_fluent_camera_off_24_regular,
ic_fluent_comment_edit_20_regular,
ic_fluent_arrow_undo_20_filled,hair:0.4754 style:0.1812 tooth:0.1201
ic_fluent_fluid_24_regular,
ic_fluent_document_toolbox_24_regular,
ic_fluent_earth_24_filled,planets:0.3414 elements:0.1893 seamless:0.1834 wreath:0.1757 sphere:0.1523 spirograph:0.1226
ic_fluent_person_question_mark_16_regular,arrow:0.2264 way:0.2261 adventure:0.1774 pipe:0.1250
ic_fluent_local_language_16_filled,ladder:0.1536 construction:0.1147 property:0.1114
ic_fluent_presence_oof_10_regular,3d:0.1782 graph:0.1749
ic_fluent_decimal_arrow_left_24_filled,graph:0.1544 pipe:0.1225
ic_fluent_notebook_add_24_filled,
ic_fluent_speaker_usb_24_regular,
ic_fluent_font_space_tracking_in_28_filled,
ic_fluent_data_scatter_24_regular,
ic_fluent_phone_desktop_add_20_regular,
ic_fluent_desktop_arrow_right_16_filled,camera:0.4507 gopro:0.1903 video-camera:0.1052 digital:0.1045 gadget:0.1030
ic_fluent_fps_60_24_filled,garden:0.2467 gardening:0.1005
ic_fluent_window_ad_20_filled,window:0.1059
ic_fluent_text_paragraph_direction_20_regular,
ic_fluent_text_color_16_regular,birthday:0.1738 construction:0.1592
ic_fluent_calendar_arrow_right_20_filled,lock:0.1110
ic_fluent_text_grammar_wand_24_filled,move:0.2782 filter:0.1814
ic_fluent_star_three_quarter_24_filled,star:0.1617
ic_fluent_arrow_swap_20_regular,arrow:0.2827 sort:0.2089 zigzag:0.1057 way:0.1009
ic_fluent_arrow_circle_up_24_filled,up:0.1134
ic_fluent_data_treemap_24_filled,fax:0.2155 notebook:0.1116
ic_fluent_people_team_16_regular,printer:0.1789 box:0.1196
ic_fluent_calendar_today_28_regular,monitor:0.1045
ic_fluent_arrow_hook_down_right_24_filled,arrow:0.2218 turn:0.1266
ic_fluent_rename_20_regular,book:0.2174
ic_fluent_arrow_curve_down_right_20_regular,arrow:0.8155 0:0.4660 arrow-symbol:0.3083 arrow-sign:0.2239 arrows:0.1886 3:0.1825 4:0.1697 archery:0.1468 guide:0.1429 2:0.1408
ic_fluent_mail_inbox_arrow_right_24_filled,computer:0.1535 camera:0.1378 film:0.1209 wallet:0.1017
ic_fluent_fps_60_20_regular,
ic_fluent_subtract_12_regular,
ic_fluent_search_info_24_regular,magnifying-glass:0.1548 analyze:0.1428 magnifier:0.1095
ic_fluent_hd_24_regular,audio:0.1162 equalizer:0.1069
ic_fluent_speaker_edit_24_regular,plug:0.3210 battery:0.2351 electrical:0.1230 socket:0.1215 charger:0.1003
ic_fluent_speaker_off_16_filled,
ic_fluent_arrow_sort_20_regular,down:0.1712 horoscope:0.1267 way:0.1172
ic_fluent_real_estate_24_filled,property:0.2774 real-estate:0.2706 box:0.1310
ic_fluent_building_shop_16_regular,shop:0.2549 store:0.1475
ic_fluent_weather_snow_shower_day_24_filled,snow:0.2398 snowing:0.1943 rain:0.1390
ic_fluent_dentist_48_filled,tooth:0.5713 teeth:0.4424 hygiene:0.1595 dental:0.1559 mouth:0.1059
ic_fluent_call_transfer_20_regular,pipe:0.1996 cctv:0.1671 equipment:0.1065
ic_fluent_serial_port_24_regular,battery:0.6329
ic_fluent_weather_thunderstorm_24_regular,forest:0.1162 park:0.1051
ic_fluent_channel_alert_16_regular,
ic_fluent_lock_closed_24_filled,lock:0.4534 bag:0.2032 padlock:0.1564 purse:0.1502
ic_fluent_globe_person_24_regular,server:0.5886 database:0.2660
ic_fluent_rocket_16_filled,
ic_fluent_note_24_regular,
ic_fluent_table_stack_below_24_regular,brick-wall:0.2125 construction:0.1577 furniture:0.1382
ic_fluent_battery_6_24_filled,battery:0.6472
ic_fluent_image_arrow_counterclockwise_24_regular,package:0.1007
ic_fluent_cloud_backup_48_filled,cloud-upload:0.9300 upload:0.6310 cloud:0.4255 upload-cloud:0.2603 upload-to-cloud:0.2580 server:0.2137 transfer:0.1545 uploading:0.1453
ic_fluent_reading_list_16_regular,align:0.1137
ic_fluent_border_left_24_filled,turn:0.1357
ic_fluent_border_outside_24_regular,stop:0.6757 square:0.6468 symmetrical:0.2559 border:0.1285 rectangle:0.1280 box:0.1101
ic_fluent_arrow_repeat_all_24_regular,loop:0.1778 turn:0.1636 arrow:0.1502 repeat:0.1169 replay:0.1003
ic_fluent_share_ios_28_regular,upload:0.7335
ic_fluent_maximize_24_filled,stop:0.8448 square:0.5277 box:0.3475 cube:0.1805 symmetrical:0.1239
ic_fluent_document_edit_24_regular,extension:0.4571
ic_fluent_eraser_24_regular,furniture:0.3042 mirror:0.1261 wardrobe:0.1161 table:0.1115
ic_fluent_tab_in_private_28_filled,
ic_fluent_color_fill_20_filled,
ic_fluent_usb_stick_24_filled,memory:0.4109
ic_fluent_building_factory_24_filled,factory:0.5040 industry:0.3965 manufacturing:0.1541 ecology:0.1388
ic_fluent_arrow_reply_48_regular,arrow:0.3755 reply:0.3317 turn-left:0.2752 arrow-left:0.2526 turn:0.1154 previous:0.1148 undo:0.1133
ic_fluent_people_add_24_filled,math:0.1363 storage:0.1080 group:0.1062
ic_fluent_document_search_20_regular,cable:0.6277 plug:0.2482 toilet-paper:0.1614 usb:0.1556 transfer:0.1239 flash-drive:0.1135 connector:0.1108
ic_fluent_weather_moon_28_regular,night:0.1645
ic_fluent_organization_20_filled,server:0.1450
ic_fluent_mail_all_read_20_filled,tv:0.1159
ic_fluent_meet_now_20_filled,monitor:0.1625
ic_fluent_compass_northwest_20_regular,
ic_fluent_weather_snow_shower_night_20_regular,rain:0.2250 shower:0.1687
ic_fluent_emoji_meh_24_regular,angry:0.2907 sad:0.1702 cry:0.1105
ic_fluent_ruler_20_filled,iphone:0.1823
ic_fluent_globe_search_24_filled,social-media:0.1729
ic_fluent_tasks_app_24_regular,list:0.2768
ic_fluent_calendar_today_24_regular,
ic_fluent_calendar_arrow_right_20_regular,
ic_fluent_notebook_question_mark_24_filled,newspaper:0.1410
ic_fluent_map_drive_20_regular,film:0.1625 recording:0.1171 cinema:0.1163
ic_fluent_textbox_align_top_24_filled,browser:0.1165
ic_fluent_speaker_1_48_regular,volume:0.8634 audio:0.4293 speaker:0.3539 sound:0.1997 loud:0.1269
ic_fluent_star_off_16_regular,
ic_fluent_payment_24_regular,browser:0.1439
ic_fluent_grid_kanban_20_filled,chat:0.1538 transfer:0.1330
ic_fluent_shield_prohibited_20_regular,shield:0.4177
ic_fluent_bug_16_filled,
ic_fluent_window_shield_16_regular,web-page:0.3566 browser:0.2723 lock:0.2505 protection:0.1843
ic_fluent_document_briefcase_20_filled,construction:0.1709 ship:0.1444
ic_fluent_weather_drizzle_20_filled,rain:0.6104 storm:0.3501 lightning:0.2484 thunder:0.1717 clouds:0.1035
ic_fluent_attach_20_filled,hair:0.1041
ic_fluent_presence_available_12_filled,
ic_fluent_image_multiple_20_regular,volume:0.1337
ic_fluent_f_stop_16_regular,arrow:0.7212 zigzag:0.2225 way:0.1782 next:0.1221
ic_fluent_cloud_off_24_filled,
ic_fluent_text_align_justify_24_regular,menu:0.7204 more:0.2842 option:0.1246 side-menu:0.1052
ic_fluent_wrench_24_filled,
ic_fluent_row_triple_24_regular,menu:0.3158 server:0.3107 stack:0.1650
ic_fluent_options_24_regular,flatware:0.2223 steak-knife:0.2036 ribbon:0.1135
ic_fluent_speaker_bluetooth_24_regular,volume:0.2275
ic_fluent_arrow_rotate_clockwise_24_filled,headset:0.1313 customer-service:0.1107
ic_fluent_color_line_accent_16_regular,cigarette:0.1699 smoking:0.1019
ic_fluent_shifts_add_24_regular,
ic_fluent_person_arrow_right_20_filled,
ic_fluent_shifts_16_regular,
ic_fluent_rocket_20_regular,
ic_fluent_presenter_24_regular,gold:0.2267 nope:0.1591 bold:0.1237 sold:0.1147
ic_fluent_bluetooth_searching_24_regular,
ic_fluent_clipboard_letter_20_filled,clipboard:0.3210
ic_fluent_mail_read_20_filled,
ic_fluent_weather_haze_24_filled,
ic_fluent_speaker_off_48_regular,audio:0.4599 volume:0.3941 mute:0.2407 speaker:0.1008
ic_fluent_dual_screen_arrow_right_24_regular,gold:0.1607 sold:0.1578 bold:0.1494 nope:0.1237
ic_fluent_tasks_app_24_filled,
ic_fluent_caret_down_left_16_filled,stairs:0.2905 stair:0.1062
ic_fluent_channel_dismiss_20_filled,
ic_fluent_caret_left_12_filled,
ic_fluent_text_bullet_list_square_20_regular,list:0.2197 bullet-list:0.1982
ic_fluent_person_prohibited_24_regular,
ic_fluent_text_indent_increase_20_filled,align:0.3130 arrow:0.1185
ic_fluent_speaker_off_28_filled,megaphone:0.7777 loud:0.6297 loudspeaker:0.4532 volume:0.4293 mute:0.3198 bullhorn:0.3111 silent:0.2425 announcement:0.1861 no-sound:0.1857 audio:0.1821
ic_fluent_resize_small_24_regular,focus:0.8641 aim:0.2327 viewfinder:0.2265 zoom:0.1360 crosshair:0.1095
ic_fluent_battery_1_20_regular,battery:0.9062 full:0.1298
ic_fluent_signature_16_regular,machine:0.1361
ic_fluent_options_24_filled,steak-knife:0.3932 flatware:0.3421 settings:0.2212 ribbon:0.1011
ic_fluent_text_align_left_24_filled,filter:0.3356 align:0.3075 left-align:0.2593 paragraph:0.2543 align-left:0.2409 alignment:0.2384 justify:0.1066
ic_fluent_phone_pagination_24_regular,mobile:0.5843 phone:0.4728 cell-phone:0.3289 mobile-phone:0.3263 iphone:0.1781 smartphone:0.1713 device:0.1709 gadget:0.1498 cellphone:0.1228
ic_fluent_settings_16_regular,
ic_fluent_zoom_in_20_filled,magnifier:0.1269 search:0.1115
ic_fluent_premium_24_filled,
ic_fluent_mail_inbox_all_24_filled,
ic_fluent_quiz_new_48_regular,favorite:0.1980 package:0.1925 box:0.1712
ic_fluent_arrow_down_28_filled,arrow:0.6043 down:0.4327
ic_fluent_calendar_work_week_20_filled,
ic_fluent_highlight_20_filled,
ic_fluent_mail_16_regular,mail:0.2470 inbox:0.1297
ic_fluent_table_freeze_row_24_filled,calculator:0.2903
ic_fluent_alert_16_filled,bell:0.1065
ic_fluent_call_prohibited_28_regular,server:0.1121
ic_fluent_question_20_filled,halloween:0.1365
ic_fluent_add_circle_32_filled,more:0.1026
ic_fluent_presence_away_16_filled,record:0.1001
ic_fluent_image_arrow_counterclockwise_24_filled,
ic_fluent_bed_20_regular,furniture:0.4827 bed:0.2689 drawer:0.1103
ic_fluent_usb_port_20_regular,cable:0.3936 usb-cable:0.2277 usb:0.1880 plug:0.1645 usb-cord:0.1601 equipment:0.1229 charger:0.1042
ic_fluent_door_tag_24_regular,
ic_fluent_lock_closed_12_filled,purse:0.2068 wallet:0.1791 bag:0.1688 buying:0.1195
ic_fluent_arrow_left_20_filled,
ic_fluent_fps_960_24_filled,camping:0.1290 chairs:0.1229 chair:0.1090 cinema:0.1066
ic_fluent_translate_24_regular,
ic_fluent_cellular_data_3_20_regular,buildings:0.2044 skyscraper:0.1633 tower:0.1491 bar-chart:0.1413 diagram:0.1323 building:0.1258 graph:0.1159
ic_fluent_content_view_gallery_20_regular,book:0.1308 window:0.1011
ic_fluent_sport_basketball_24_filled,
ic_fluent_cookies_24_filled,
ic_fluent_document_arrow_left_24_regular,file:0.1037 3d:0.1024
ic_fluent_phone_span_in_28_filled,
ic_fluent_text_collapse_24_regular,playlist:0.3034 bold:0.1869 nope:0.1831 sold:0.1663 gold:0.1522 music-note:0.1251 audio:0.1057
ic_fluent_person_circle_20_filled,
ic_fluent_wrench_16_regular,staircase:0.6702 stairs:0.6616 stairway:0.4517 ladder:0.2730 stair:0.1901 upstairs:0.1078
ic_fluent_checkmark_lock_16_filled,lock:0.2511 protection:0.1396
ic_fluent_document_error_20_filled,
ic_fluent_settings_20_regular,leaves:0.1700 plant:0.1679 hand-drawn:0.1211
ic_fluent_status_16_filled,leaf:0.6078 nature:0.3170 plant:0.2352 leaves:0.1737 autumn:0.1606
ic_fluent_arrow_swap_24_regular,arrow:0.6946 way:0.5956 junction:0.2563 zigzag:0.2535 turn:0.2354 arrows:0.1511 down:0.1314
ic_fluent_folder_48_filled,folders:0.2591 battery:0.1174
ic_fluent_midi_20_regular,window:0.3612 browser:0.3146 barcode:0.1219 code:0.1055
ic_fluent_timeline_24_filled,paper:0.1010
ic_fluent_shield_keyhole_20_regular,shield:0.2514 protection:0.2363
ic_fluent_live_20_regular,
ic_fluent_table_move_above_24_regular,
ic_fluent_speaker_mute_20_regular,volume:0.1690 plug:0.1505
ic_fluent_folder_zip_16_filled,ecology:0.7974 sustainability:0.6845 environment:0.6781 green-energy:0.6584 plant:0.6314 environmental:0.4895 eco:0.4866 leaves:0.4289 garden:0.4004 green:0.3707
